id;titulo;calificacion;anyo_lanzamiento;duracion;genero;director;actores;guion;portada;tipo;productora;web;pataforma
1;Argo;R;12-oct-12;120 min;Biography, Drama, History;Ben Affleck;Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman;Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg;movie;Warner Bros. Pictures;http://argothemovie.warnerbros.com;HBO, Rakuten TV
2;Blended;PG-13;23-may-14;117 min;Comedy, Romance;Frank Coraci;Adam Sandler, Drew Barrymore, Kevin Nealon, Terry Crews;After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attraction grows as their respective kids benefit from the burgeoning relationship.;https://images-na.ssl-images-amazon.com/images/M/MV5BNzc2ODI5NjAyMl5BMl5BanBnXkFtZTgwMzIyOTE4MDE@._V1_SX300.jpg;movie;Warner Bros. Pictures;http://blendedmovie.com/;HBO, Netflix, RAKUTEN TV
3;Here Comes the Boom;PG;12-oct-12;105 min;Action, Comedy, Sport;Frank Coraci;Kevin James, Salma Hayek, Henry Winkler, Greg de_DEn;A high school biology teacher looks to become a successful mixed-martial arts fighter in an effort to raise money to prevent extra-curricular activities from being axed at his cash-strapped school.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzEzNDQ0Nl5BMl5BanBnXkFtZTcwMDI2NTY1OA@@._V1_SX300.jpg;movie;Sony/Columbia Pictures;http://boom-movie.com/;Netflix
4;Big Trouble;PG-13;05 Apr 2002;85 min;Comedy, Crime, Thriller;Barry Sonnenfeld;Tim Allen, Rene Russo, Stanley Tucci, Tom Sizemore;The lives of several Miami denizens, from ad agents to gunrunners to street thugs to law enforcement to school-children, intersect with humorous and dangerous results.;https://images-na.ssl-images-amazon.com/images/M/MV5BMGExOThjYjMtYzA2MC00OTZhLWEzMDYtMTAwZmViMGU4OTE4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg;movie;Touchstone Pictures;http://bventertainment.go.com/movies/bigtrouble;Amazon Prime Video
5;The Princess Diaries 2: Royal Engagement;G;11 Aug 2004;113 min;Comedy, Family, Romance;Garry Marshall;Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies;Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an en_US suitor.;https://images-na.ssl-images-amazon.com/images/M/MV5BODljNTU2ZGMtMWI5Yy00MGNkLTg2MTktN2NhZjY0NDcwMDhiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg;movie;Walt Disney Pictures;http://disney.go.com/disneypictures/diaries2/index.html;DISNEY +
6;The Muppets;PG;23-nov-11;103 min;Adventure, Comedy, Family;James Bobin;Jason Segel, Amy Adams, Chris Cooper, Rashida Jones;A Muppet fanatic with some help from his two human compatriots must regroup the Muppet gang to stop an avaricious oil mogul from taking down one of their precious life-longing treasures.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MTM4NTc3NF5BMl5BanBnXkFtZTcwMjYzOTIxNg@@._V1_SX300.jpg;movie;Walt Disney Pictures;http://disney.go.com/muppets/;DISNEY +
7;The Hitchhiker's Guide to the Galaxy;PG;29 Apr 2005;109 min;Adventure, Comedy, Sci-Fi;Garth Jennings;Bill Bailey, Anna Chancellor, Warwick Davis, Yasiin Bey;"Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""";https://images-na.ssl-images-amazon.com/images/M/MV5BZmU5MGU4MjctNjA2OC00N2FhLWFhNWQtMzQyMGI2ZmQ0Y2YyL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg;movie;Buena Vista;http://hitchhikers.movies.go.com/;Netflix
8;Julie & Julia;PG-13;07 Aug 2009;118 min;Biography, Drama, Romance;Nora Ephron;Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina;Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.;https://images-na.ssl-images-amazon.com/images/M/MV5BMzA4NjA2NjI2NV5BMl5BanBnXkFtZTcwOTEzNzI2Mg@@._V1_SX300.jpg;movie;Sony/Columbia Pictures;http://julieandjulia.com/;Amazon Prime Video
9;Miracle at St. Anna;R;26-sept-08;160 min;Action, Crime, Drama;Spike Lee;Derek Luke, Michael Ealy, Laz Alonso, Omar Benson Miller;Set in 1944 Italy, the story of four black American soldiers who get trapped in a Tuscan village during WWII.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTIyNjIwOTI1MF5BMl5BanBnXkFtZTcwMTQ1NTU3MQ@@._V1_SX300.jpg;movie;Touchstone Pictures;http://MiracleMovie.com;Rakuten TV
10;The BFG;PG;1-jul-16;117 min;Adventure, Family, Fantasy;Steven Spielberg;Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement;An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.;https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MjI4NTEzOF5BMl5BanBnXkFtZTgwNjM2Nzg3NzE@._V1_SX300.jpg;movie;Walt Disney Pictures;http://movies.disney.com/the-bfg;Netflix
11;The Sixth Sense;PG-13;06 Aug 1999;107 min;Drama, Mystery, Thriller;M. Night Shyamalan;Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams;A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.;https://images-na.ssl-images-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg;movie;Hollywood/Buena Vista;http://movies.go.com/moviesdynamic/movies/movie?id=505420;HBO, NETFLIX, RAKUTEN TV
12;The Sixth Sense;PG-13;06 Aug 1999;107 min;Drama, Mystery, Thriller;M. Night Shyamalan;Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams;A boy who communicates with spirits that don't know they're dead seeks the help of a disheartened child psychologist.;https://images-na.ssl-images-amazon.com/images/M/MV5BMWM4NTFhYjctNzUyNi00NGMwLTk3NTYtMDIyNTZmMzRlYmQyXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg;movie;Hollywood/Buena Vista;http://movies.go.com/moviesdynamic/movies/movie?id=505420;Rakuten TV
13;One for the Money;PG-13;27 Jan 2012;91 min;Action, Comedy, Crime;Julie Anne Robinson;Katherine Heigl, Jason O'Mara, Daniel Sunjata, John Leguizamo;Unemployed and newly-divorced Stephanie Plum lands a job at her cousin's bail-bond business, where her first assignment puts her on the trail of a wanted local cop from her romantic past.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NzMxMDU1NF5BMl5BanBnXkFtZTcwNzYxNTA2Ng@@._V1_SX300.jpg;movie;Lionsgate Films;http://oneforthemoneyfilm.com/;DISNEY +
14;The Other Woman;PG-13;25 Apr 2014;109 min;Comedy, Romance;Nick Cassavetes;Cameron Diaz, Leslie Mann, Nikolaj Coster-Waldau, Don Johnson;After discovering her boyfriend is married, Carly soon meets the wife he's been betraying. And when yet another love affair is discovered, all three women team up to plot revenge on the three-timing S.O.B.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0ODE4ODY1OF5BMl5BanBnXkFtZTgwMDA5NjkzMTE@._V1_SX300.jpg;movie;20th Century Fox;http://otherwomanmovie.com;Amazon Prime Video
15;Red Riding Hood;PG-13;11-mar-11;100 min;Fantasy, Horror, Mystery;Catherine Hardwicke;Amanda Seyfried, Gary Oldman, Billy Burke, Shiloh Fernandez;Set in a medieval village that is haunted by a werewolf, a young girl falls for an orphaned woodcutter, much to her family's displeasure.;https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NjYyMzQ5MV5BMl5BanBnXkFtZTcwNjE5Mjc3NA@@._V1_SX300.jpg;movie;Warner Bros.;http://redridinghood.warnerbros.com/;Rakuten TV
16;Stealth;PG-13;29-jul-05;121 min;Action, Adventure, Sci-Fi;Rob Cohen;Josh Lucas, Jessica Biel, Jamie Foxx, Sam Shepard;Deeply ensconced in a top-secret military program, three pilots struggle to bring an artificial intelligence program under control before it initiates the next world war.;https://images-na.ssl-images-amazon.com/images/M/MV5BNzMzNTY0NTYwOV5BMl5BanBnXkFtZTcwMTExNjgyMQ@@._V1_SX300.jpg;movie;Columbia Pictures;http://sonypictures.com/movies/stealth;Netflix
